sample_id	lake_id	upperpt	lowerpt	midpt	midpt_year	upperpt_year	lowerpt_year	epilimnion_temp	metalimnion_temp	hypolimnion_temp	sdd	epilimnion_tn	epilimnion_tp	epilimnion_ph	epilimnion_oxygen	profundal_tn	profundal_tp	profundal_ph	profundal_oxygen	meanairtemp	precip_eccc	maxairtemp	minairtemp	precip_ela	ice_duration
L226S_4-4.5cm	L226S	4	4.5	4.25	1969.91374514324	1972.48874497761	1967.35588601086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.78	711	6.7	-2.6500000000000004	890	174
L226S_4.5-5cm	L226S	4.5	5	4.75	1964.81101806006	1967.35588601086	1962.2749917704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82	723.2	NA	NA	NA	NA
L226S_5-5.5cm	L226S	5	5.5	5.25	1959.74365762144	1962.2749917704	1957.21286609275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.32	564.6	NA	NA	NA	NA
L226S_5.5-6cm	L226S	5.5	6	5.75	1954.6784676639	1957.21286609275	1952.13631281445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.42	564.8	NA	NA	NA	NA
L226S_6-6.5cm	L226S	6	6.5	6.25	1949.58225202398	1952.13631281445	1947.01213577205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.44	602.2	NA	NA	NA	NA
L226S_6.5-7cm	L226S	6.5	7	6.75	1944.42181453822	1947.01213577205	1941.80713880207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3	679	NA	NA	NA	NA
L226S_7-7.5cm	L226S	7	7.5	7.25	1939.16395904316	1941.80713880207	1936.48812574106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.566666666666667	646.8333333333334	NA	NA	NA	NA
L226S_7.5-8cm	L226S	7.5	8	7.75	1933.77548937534	1936.48812574106	1931.02190042556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6799999999999997	593.8	NA	NA	NA	NA
L226S_8-8.5cm	L226S	8	8.5	8.25	1928.22320937129	1931.02190042556	1925.3752666921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.95	649	NA	NA	NA	NA
L226S_8.5-9cm	L226S	8.5	9	8.75	1922.47392286755	1925.3752666921	1919.51502837722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56	673.4	NA	NA	NA	NA
L226S_9-9.5cm	L226S	9	9.5	9.25	1916.49443370066	1919.51502837722	1913.40798931746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	569.1428571428571	NA	NA	NA	NA
L226S_9.5-10cm	L226S	9.5	10	9.75	1910.25154570716	1913.40798931746	1907.02095334935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8666666666666667	513.5	NA	NA	NA	NA
L226S_10-10.5cm	L226S	10	10.5	10.25	1903.71206272358	1907.02095334935	1900.32072430943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.442857142857143	600.7142857142857	NA	NA	NA	NA
L226S_10.5-11cm	L226S	10.5	11	10.75	1896.84278858646	1900.32072430943	1893.27410603424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L226S_11-11.5cm	L226S	11	11.5	11.25	1889.61052713234	1893.27410603424	1885.84790236032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L226S_11.5-12cm	L226S	11.5	12	11.75	1881.98208219775	1885.84790236032	1878.0089171242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L227_0-0.5cm	L227	0	0.5	0.25	2016.1303186215	2018	2013.41435947228	15.959999999999999	9.3	4.72	1.26	0.725	33.85	6.575	NA	3.675	108.42500000000001	6.15	NA	2.96	830.2	7.8	-1.46	799.6	155.2
L227_0.5-1cm	L227	0.5	1	0.75	2010.8334838482	2013.41435947228	2008.37756200031	13.92	8.76	4.84	1.34	0.8	36.84	6.7	6.8	3.28	114.3	6.14	3.3	3.54	757	8.5	-1.1	769.6	148.4
L227_1-1.5cm	L227	1	1.5	1.25	2006.03646417967	2008.37756200031	2003.80006063736	14.15	8.95	5	1.475	0.75	34.699999999999996	6.675	8.8	2.4	78.6	6.2	3.55	3.6	777.5	8.4	-1.275	777.75	151.75
L227_1.5-2cm	L227	1.5	2	1.75	2001.65822162441	2003.80006063736	1999.6008173919	15.7	10.125	5.5249999999999995	1.5	0.775	31.525	6.55	7.625	3.5250000000000004	100.125	6.125	1.925	3.4	757	8.275	-1.7	745.75	156.5
L227_2-2.5cm	L227	2	2.5	2.25	1997.61771819089	1999.6008173919	1995.69879427242	14.65	8.95	4.8	1.5	0.825	41.7	6.825	7.85	4.025	150.175	6.1499999999999995	1.175	3.3	811.5	8.275	-1.575	779	168.25
L227_2.5-3cm	L227	2.5	3	2.75	1993.83391588757	1995.69879427242	1992.0129532874	13.625	8.6	4.550000000000001	1.55	0.95	29.675	7.425	8.425	2.775	63.95	6.25	2.275	2.475	702.75	7.125	-2.35	707	168.5
L227_3-3.5cm	L227	3	3.5	3.25	1990.22577672295	1992.0129532874	1988.4622564453	15.1	9.175	4.675	1.35	1.1	41.1	7.7	8.65	5.15	240.4	6.475	2.05	2.775	639.25	7.775	-2.3249999999999997	644	162.5
L227_3.5-4cm	L227	3.5	4	3.75	1986.7122627055	1988.4622564453	1984.96566575461	13.9	8.566666666666666	4.633333333333334	1.0666666666666667	1.2	45.266666666666666	7.8	9.1	3.9	97.5	6.3	1.6666666666666667	3.433333333333333	581.3333333333334	7.666666666666666	-1	654.3333333333334	151.33333333333334
L227_4-4.5cm	L227	4	4.5	4.25	1983.2123358437	1984.96566575461	1981.44214322381	13.75	8.75	4.75	1.075	1.2	49.5	7.7749999999999995	8.7	4.475	138.25	6.375	2.15	3.1	617.75	7.475	-1.05	632.25	155.75
L227_4.5-5cm	L227	4.5	5	4.75	1979.64495814602	1981.44214322381	1977.81065086137	13.566666666666666	7.8	4.566666666666666	1.1	1.3	54.8	8	9.200000000000001	3.9	138.13333333333333	6.6	1.6666666666666667	1.7666666666666666	548	6.266666666666667	-3.033333333333333	583	169
L227_5-5.5cm	L227	5	5.5	5.25	1975.92909162094	1977.81065086137	1973.99015067577	13.85	8.45	4.475	1.55	0.9750000000000001	32.875	7.425	8.775	3.1	75.85	6.574999999999999	2.575	2.4	611.5	7	-2.625	685.75	166.75
L227_5.5-6cm	L227	5.5	6	5.75	1971.98369827694	1973.99015067577	1969.8996046755	12.35	7.95	4.3	1.7750000000000001	0.875	35.875	7.6	8.625	1.7000000000000002	60.7	6.574999999999999	2.9	1.8	729.5	6.775	-2.8	811.5	173.25
L227_6-6.5cm	L227	6	6.5	6.25	1967.7277401225	1969.8996046755	1965.45797486901	12.2	7.4	4.65	2.45	0.4	16.9	7.3	9.2	0.4	26.9	6.6	5.2	1.54	644.6	NA	NA	NA	NA
L227_6.5-7cm	L227	6.5	7	6.75	1963.08017916609	1965.45797486901	1960.5842232648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.475	679.5	NA	NA	NA	NA
L227_7-7.5cm	L227	7	7.5	7.25	1957.9599774162	1960.5842232648	1955.19731187134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0166666666666666	613.3333333333334	NA	NA	NA	NA
L227_7.5-8cm	L227	7.5	8	7.75	1952.2860968813	1955.19731187134	1949.21620269712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8666666666666667	541.3333333333334	NA	NA	NA	NA
L227_8-8.5cm	L227	8	8.5	8.25	1945.97749956986	1949.21620269712	1942.55985775059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.183333333333333	686.6666666666666	NA	NA	NA	NA
L227_8.5-9cm	L227	8.5	9	8.75	1938.95314749037	1942.55985775059	1935.14723904025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.55	632.375	NA	NA	NA	NA
L227_9-9.5cm	L227	9	9.5	9.25	1931.1320026513	1935.14723904025	1926.89730857458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4625	598.125	NA	NA	NA	NA
